angestellt, employed
aufreibend, stressful
unangenehm, unpleasant
schreckhaft, scary
unterhaltsam, entertaining
sonstiges, miscellaneous
shredded, zerfetzt
out of tune, verstimmt
soft, weich
deep, tief
hoarse, heiser
concerned, besorgt
stick out, abstehend
perplexed, verblüfft
nearsighted, kurzsichtig
verzweifelt, desperate
consumed, verbraucht
dutiful, pflichttreuer
strange, merkwürdig
spongy, schwammig
faded, verblüht
colorful, bunt
smashed, zerschlagen
zerrissen, torn
verdreht, twisted
worn, verschlissen
sober, nüchtern
repellent, abweisend
confused, verwirrt
