der Hinter, butt
der Schoss, lap
die Stirn, forehead
der Oberschenkel, thigh
der Darm, gut
der Knochen, bones
die Ferse, heel
der Körper, body
das Gesicht, face
das Kinn, chin
der Mund, mouth
die Zunge, tongue
die Wange, cheek
die Augenbraue, eyebrow
das Ohr, ear
der Bart, beard
der Schnurrbart, mustache
der Hals, neck
der Bauch, belly
der Rücken, back
die Hüfte, hip
der Ellbogen, elbow
der Nagel, nail
der Daumen, thumb
der Zeh, toe
das Gehirn, brain
die Haut, skin
die Leber, liver
die Milz, spleen
der Magen, stomach
die Niere, kidney
das Handgelenk, wrist
der Brustkorb, chest
