die Empfehlung, recommendation
die Eigenschaft, property
das Inserat, ad
der Antrag, request
die Bewertung, assessment
die Zinsen, interest
der Betrag, amount
erhalten, receive
das Unternehmen, company
das Gehalt, income
der Kunde, client
der Arbeitgeber, employer
der Arbeitnehmer, employee
der Drucker, printer
der Anzug, suit
der Beruf, profession
der Arbeiter, worker
der Vertrag, contract
der Auftrag, work order
die Bestellung, purchase order
die Dienstleistung, service
der Gewinn, profit
der Termin, appointment
der Verlust, loss
der Umsatz, turnover
der Wert, value
die Steuer, tax
die Bewerbung, job application
die Währung, currency
der Lebenslauf, CV
das Wachstum, growth
die Nachfrage, demand
verkaufen, sell
verhandeln, negotiate
das Bargeld, cash
der Kontostand, balance
das Darlehen, loan
die Schuld, debt
