schieben, check
setzen, bet
verweisen, refer
berücksichtigen, consider
beruhen, be based
sich lohnen, be worth
verfügen, to have
einschätzen, assess
das Anzeichen, sign
der Einsatz, bet
die Einleitung, introduction
insbesondere, especially
der Umstand, fact
liegen, lie
somit, consequently
das Einsatzrund, betting round
jeweils, each
vertraut, familiar
der Zufall, coincidence
das Gelingen, success
das Geschick, skill
erzielen, achieve
wesentlich, essential
der Begriff, concept
der Zweifel, doubt
bezeichnen, describe
die Gewissheit, certainty
zusammensetzen, put together
der Leitfaden, guideline
anwenden, apply
ausgeglichen, balanced
gelegentlich, occasionally
erbracht, provided
mitgehen, go along
nachfolgenden, subsequent
der Einfluss, influence
unschlagbar, unbeatable
erwarten, expect
das Spielverhalten, gaming behaviour
einzeln, individually
