ersetzen, replace
schützen, protect
schlagen, beat
aufregen, excite
verschwinden, disappear
ahnen, suspect
verhindern, prevent
einrichten, set up
auswählen, select
fortführen, continue
herunterladen, download
fürchten, fear
entsprechen, correspond
bestehen, consist
beinhalten, include
verteidigen, defend
angreifen, attack
betrachten, consider
überzeugen, convince
übertragen, transmit
übertreiben, exaggerate
entfernen, remove
reichen, be enough
anstrengen, strain
einfügen, insert
versprechen, promise
beurteilen, assess
widersprechen, contradict
mitbekommen, notice
überwachen, monitor
wiederverwenden, reuse
zugreifen, access
erteilen, grant
erben, inherit
abbrechen, abort
verhandeln, negotiate
verführen, seduce
enttäuschen, disappoint
vertrauen, trust
abreißen, tear off
vermeiden, avoid
betrügen, deceive
entführen, kidnap
behandeln, handle
annehmen, accept
erwähnen, mention
verriegeln, lock
sich begeistern, be enthusiastic
schaffen, create
betreiben, operate
ergreifen, grasp
verwenden, use
ausliefern, deliver
anpassen, adjust
entdecken, discover
besiegen, defeat
überleiten, transfer
verraten, betray
versuchen, attempt
anlaufen, start up
