abgelaufen, expired
abholen, pick up
die Wahrnehmung, perception
die Gewalt, violence
husten, cough
überhören, not hear
der Höhepunkt, climax
der Angestellter, employee
die Bevölkerung, population
die Wiese, meadow
die Ehe, marriage
der Aufenthalt, residence
das Raumschiff, spaceship
genießen, enjoy
der Staatsrat, state council
abhauen, run away
der Shulleiter, headmaster
der Trabant, satellite
Gewaltig, mighty
wahr, true
der Vorsitzender, chairman
die Ungerechtigkeit, injustice
der Genosse, comrade
hast du's eilig, are you in a hurry
die Benachrichtigung, notification
fluten, flood
schüchtern, shy
die Laune, humor
schützen, protect
die Gewalt, violence
die Lupe, lens
die Mädel, girl
die Auszeichnung, award
verwandelt, transformed
liefern, deliver
erziehen, educate
die Mauer, wall
friedlich, peaceful
damals, back then
das Geständnis, confession
die Gelegenheit, opportunity
verheimlichen, conceal
die Aufregung, excitement
der Schäfer, shepherd
einziehen, move in
zurücktreten, resign
zurückkehren, return
verhören, interrogate
die Wende, turning point
die Mühe, trouble
