ant, der
ast, der
ich, der
ig, der
ling, der
or, der
us, der
a, die
anz, die
ei, die
enz, die
heit, die
ie, die
ik, die
ion, die
keit, die
tät, die
schaft, die
ung, die
ur, die
chen, das
il, das
lein, das
ma, das
ment, das
o, das
um, das
Konsonant, der
Palast, der
Teppich, der
Honig, der
Liebling, der
Motor, der
Materialismus, der
Pizza, die
Toleranz, die
Wäscherei, die
Intelligenz, die
Mehrheit, die
Astrologie, die
Musik, die
Kommunikation, die
Müdigkeit, die
Kreativität, die
Erbschaft, die
Bedeutung, die
Frisur, die
Märchen, das
Ventil, das
Männlein, das
Drama, das
Instrument, das
Auto, das
Zentrum, das
