czysto, clean
dodatkowy, additional
doskonały, perfect
dostępne, available
duży, big
głowny, main
inny, other
jasny, bright
ładna, pretty
najdroższy, the most expensive
najnowszy, the latest
najtańszy, the cheapest
oddzielny, separate
ostatni, the last
otwarty, open
pozostały, remaining
przedostatni, penultimate
przestronny, spacious
przytulny, cozy
smutny, sad
słoneczny, sunny
stary, old
ważny, important
wyróżniony, distinguished
wszystkie, all
zabytkowym, historic
zadbana, tidy
zadowolona, satisfied
zielony, green
