cena, price
czynsz, rental payment
dom, house
dom szeregowiec, semi-detached house
dom wolnostojący, detached house
działka, plot of land
kamienica, apartment house
klatka schodowa, staircase
kuchnia, kitchen
łazienka, bathroom
liczba, number
lodówka, fridge
magazyn, warehouse
między, between
mieszkanie, flat
najmu, lease
nieruchomość, real estate
odkurzacz, vacuum cleaner
ogłoszenie, announcement
okno, window
opis, description
opłata, fee
piekarnik, oven
piętro, floor
poddasze, attic
pokój, room
poziom, level
prąd, current
pralka, washing machine
przystanek autobusowy, bus stop
sąsiad, neighbour
schody, stairs
sprzęt, equipment
suterena, basement
umeblowane, furnished
winda, elevator
w pełni wyposażony, fully equipped
wyróżniony, featured
zabudowa, building
zamiana, exchange
żelzko, iron
