sprytna idea, clever idea
głęboka idea, deep idea
dodawany czas, increment
goły król, bare king
zroszowany król, castled king
wyjście królem, king walk
przegrywający wariant, loosing line
wygrywający wariant, winning line
ostry wariant, sharp line
spokojny wariant, quiet line
przegrana, loss
mat na ostatniej linii, back-rank mate
siatka matowa, mating net
pat, stalemate
wystarczająca rekompensata, sufficient compensation
wygrywający materiał, winning material
niedokładny ruch, inaccurate move
słaby ruch, weak move
krytyczne posunięcie, critical move
wątpliwy ruch, dubious move
50 posunięć reguła, 50 moves rule
półruch, half-move
nieprawidłowy ruch, illegal move
kolejność posunięć, move order
wymuszony ruch, forced move
ciche posunięcie, quiet move
dokładny ruch, accurate move
