eat, jeść
food, jedzenie
drink, pić
hungry, głodny
thirsty, spragniony
cook, gotować
taste, smakować
pickled, kiszony
dinner, kolacja
breakfast, śniadanie
sweet, słodki
spicy, pikanty
salty, słony
bitter, gorzki
bread, chleb
butter, masło
honey, miód
egg, jajko
rice, ryż
salt, sól
spice, przyprawa
fruit, owoce
vegetables, warzywo
potato, ziemniak
cucumber, orórek
meat, mięso
sausage, kiełbasa
chicken, kurczak
fish, ryba
pork, wieprzowina
soup, zupa
salad, sałakta
biscuit, ciastko
icecream, lód
water, woda
juice, sok
beer, piwo
milk, mleko
tea, herbata
coffee, kawa
still water, woda niegazowana
soda water, woda gazowana
