chcę się poprawić, I want to improve
kurczę, damn
uczestnicy randki, dating participants
skupiłam się, I focused
to co dla mnie jest ważne, what is important for me
ale to ciekawe, but it is interesting
będę pisała, I will write
cześć, bye
co słychać, what's up
dobranoc, good night
dobry wieczór, good evening
dzień dobry, good morning
śpij dobrze, sleep well
ja też nie, neither do I
jestem w sklepie, I am at the shop
nauczyłem się, I have learnt
nie mam żadnego pojęcia, I have no idea
pójdę do sklepu, I will go to the shop
idę do sklepu, I am going to the shop
idę do kawiarni, I am going to the cafe
teraz idę do sklepu, now I am going to the shop
wróciłem ze sklepu, I came back from the shop
witam, welcome
pozdrawiam, regards
opowiem ci póżniej, I will tell you later
mogę oddzwonić póżniej, can I call you back later
zgadzam się, I agree
jak minął dzień, how was your day
jak mija dzień, how is your day going
