bez, without
czy to jest Agnieszka, is this Agnieszka
cześć, hello
do, to
do widzenia, goodbye
dopiero, only
dziś, today
dziękuję, thanks
kup, buy
między, between
miłego dnia, have a nice day
napisz, write
nie, no
od, from
od zaraz, immediately
oraz, and
padać, rain
pokaż, show
południe, noon
przy, at
rozumiem, got it
sprzedać, sell
szukaj, search
tu, here
tuż przy, next to
teraz, now
w, in
wiadomość, message
więc, thus
wybierz, choose
wynająć, to rent
wyślij, send
znajduje się, is located
z, with
