jesteście kobietami, you are women
czy lubisz go, do you like him
nie kochamy jej, we do not love her
nie lubię tego, I do not like this
nie widzę jej, I do not see her
nie znam ich, I do not know them
nie znamy cię, we do not know you
nie słyszę cię, I do not hear you
ona mnie nie kocha, she does not love me
ona tego nie widzi, she does not see it
on nie kocha mnie, he does not love me
oni mnie nie widzą, they do not see me
ta kobieta je lubi, this woman likes them
ten kot jej nie lubi, this cat does not like her
widzę ją, I see her
znam jego psa, I know his dog
