ja chcę się poprawić, I want to improve
kurczę, damn
uczestnicy randki, dating participants
to co dla mnie jest ważne, what is important for me
ale to ciekawe, but it is interesting
ja będę pisała, I will write
cześć, bye
dobranoc, good night
dobry wieczór, good evening
dzień dobry, good morning
śpij dobrze, sleep well
ja też nie, neither do I
ja jestem w sklepie, I am at the shop
ja nauczyłem się, I have learnt
ja nie mam żadnego pojęcia, I have no idea
ja pójdę do sklepu, I will go to the shop
ja idę do sklepu, I am going to the shop
ja idę do kawiarni, I am going to the cafe
teraz idę do sklepu, now I am going to the shop
ja wróciłem ze sklepu, I came back from the shop
witam, welcome
pozdrawiam, regards
ja opowiem póżniej, I will tell later
ja zgadzam się, I agree
